24.07.2026                                                           Dynamische Listenausgabe                                                                  1


	TCODE	PGMNA	DYPNO	MENUE	CINFO	ARBGB	TTEXT
	/ACCGO/PADCAD	/ACCGO/CAK_CREDIT_SALE_REPORT	 1000		   80		Liste der bezahlten/unbez. EAB/VAB
	/ACCGO/PM_NUMRANGE		 0000		   02		Nummernkreis für PreisfindMethoden
	/ACCGO/POST_CONV_CR	/ACCGO/S4H_POST_CONV_CORTN	 1000		   80
	/ACCGO/PPHD		 0000		   02		Kopftabellendaten Vorauszahlung
	/ACCGO/PPMG_EVT_POST	/ACCGO/PPMG_EVENT_POST	 1000		   80		VorauszahlVereinbEreignisse buchen
	/ACCGO/PRGM_MAINT		 0000		   02		Programmfamilie und -typ pflegen
	/ACCGO/PRIAPT		 0000		   02		Preisfindungsansätze pflegen
	/ACCGO/PRICING_RUN	/ACCGO/PRICING_RUN	 1000		   80		Preisfindung
	/ACCGO/PRNUMRANGE		 0000		   02		Nummernkreis für Preisaspekt bearb.
	/ACCGO/PROCESS_TRACE		 0000		   02		Trace-Anwendungsprozesse pflegen
	/ACCGO/PR_BATCH	/ACCGO/PR_BATCH	 1000		   84		Bearbeiter Kaufrealisierung
	/ACCGO/QREP_DTSTDB		 0000		   02		Datensätze für Qrep pflegen
	/ACCGO/QREP_PUSH	/ACCGO/CAS_QREP_PUSH	 2000		   00		Klasseninform. für Laden erfassen
	/ACCGO/RCN_PARALLEL		 0000		   02		Parallelverarbeitung für Abstimmung
	/ACCGO/RCN_THRESHOLD		 0000		   02		Schwellenwerte für Abstimm. pflegen
	/ACCGO/REASON_CODE		 0000		   02		Gründe pflegen
	/ACCGO/REL_TRADE_CUS		 0000		   02		Zugehörige Transaktionsarten pflegen
	/ACCGO/REVNUMRANGE		 0000		   02		Nummernkreis für Storno bearbeiten
	/ACCGO/REV_VLOGP_COR	/ACCGO/REV_VLOGP_CORR	 1000		   80		Korrektur (VLOGP) für stornierte Apps
	/ACCGO/RRP	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Erlösabgrenzung/Kaufrealisierung
	/ACCGO/RRP_VLOGP_RCN	/ACCGO/ACM_RRP_VLOGP_CORR	 1000		   80		Schn. Nachschub Korr. AbstimmBericht
	/ACCGO/RR_BATCH	/ACCGO/RR_BATCH	 1000		   84		Bearbeiter Erlösabgrenzung
	/ACCGO/RULES_UTL	/ACCGO/CAS_RULES_UTILITY	 1000		   80		Hilfsreport f. Anwendungsbelegregeln
	/ACCGO/RUL_CONFIG		 0000		   02		Customizing für Regelkonfiguration
	/ACCGO/RUL_MAT_SEL		 0000		   02		Abgleichskriterien ändern
	/ACCGO/RUL_MAT_SEL_D		 0000		   02		Abgleichskriterien anzeigen
	/ACCGO/RUL_STREAMS		 0000		   02		Streams in Anwendungsregeln pflegen
	/ACCGO/SFCNUMRANGE		 0000		   02		NumKreis für Servicegebührenschl.
